Episode,Score,Invalid Moves,Highest Tile,Total Reward
462,5192,0,512,5192
463,808,0,64,808
464,728,0,64,728
465,1464,0,128,1464
466,1440,0,128,1440
467,1608,0,128,1608
468,1692,0,128,1692
469,2416,0,256,2416
470,976,0,64,976
471,1248,0,128,1248
472,2612,0,256,2612
473,756,0,64,756
474,1216,0,128,1216
475,1500,0,128,1500
476,1648,0,128,1648
477,960,0,64,960
478,1004,0,64,1004
479,1040,0,128,1040
480,304,0,32,304
481,1616,0,128,1616
482,1468,0,128,1468
483,1308,0,128,1308
484,424,0,32,424
485,812,0,64,812
486,424,0,32,424
487,584,0,64,584
488,688,0,64,688
489,596,0,64,596
490,784,0,64,784
491,660,0,64,660
492,1192,0,128,1192
493,1272,0,128,1272
494,996,0,128,996
495,876,0,64,876
496,1148,0,128,1148
497,608,0,64,608
498,556,0,32,556
499,1520,0,128,1520
500,704,0,64,704
